transactionID,from_account,to_account,clientID,amount,transaction_date,transaction_type,transaction_status
24,1,4,1,408.48,2024-11-16T00:00:00,TRANSFER,FAILED
25,1,,1,581.64,2024-12-21T00:00:00,WITHDRAW,COMPLETED
26,7,,3,358.15,2024-06-26T00:00:00,WITHDRAW,FAILED
27,1,7,1,157.62,2024-03-15T00:00:00,TRANSFER,COMPLETED
28,,1,1,512.91,2024-03-17T00:00:00,DEPOSIT,PENDING
29,7,1,3,943.13,2024-01-08T00:00:00,TRANSFER,COMPLETED
30,1,,1,991.31,2024-07-01T00:00:00,WITHDRAW,COMPLETED
31,7,1,3,74.82,2024-01-05T00:00:00,TRANSFER,PENDING
32,1,,1,824.47,2024-07-28T00:00:00,WITHDRAW,PENDING
33,,1,1,771.11,2024-10-19T00:00:00,DEPOSIT,PENDING
34,1,4,1,328.33,2024-10-02T00:00:00,TRANSFER,COMPLETED
35,4,,2,44.77,2024-03-22T00:00:00,WITHDRAW,PENDING
36,1,,1,746.07,2024-11-14T00:00:00,WITHDRAW,FAILED
37,1,,1,942.62,2024-06-14T00:00:00,WITHDRAW,COMPLETED
38,4,7,2,497.6,2024-02-11T00:00:00,TRANSFER,PENDING
39,,4,2,978.72,2024-07-12T00:00:00,DEPOSIT,FAILED
40,7,4,3,39.96,2024-05-26T00:00:00,TRANSFER,FAILED
41,1,4,1,387.18,2024-01-07T00:00:00,TRANSFER,COMPLETED
42,4,,2,497.29,2024-02-18T00:00:00,WITHDRAW,PENDING
43,,1,1,409.95,2024-05-16T00:00:00,DEPOSIT,COMPLETED
44,7,,3,511.32,2024-09-07T00:00:00,WITHDRAW,COMPLETED
45,1,7,1,664.76,2024-07-10T00:00:00,TRANSFER,COMPLETED
46,4,7,2,409.45,2024-06-22T00:00:00,TRANSFER,COMPLETED
47,7,,3,94.16,2024-06-22T00:00:00,WITHDRAW,FAILED
48,7,,3,579.37,2024-06-17T00:00:00,WITHDRAW,FAILED
49,,4,2,566.22,2024-01-13T00:00:00,DEPOSIT,PENDING
50,1,4,1,588.73,2024-11-09T00:00:00,TRANSFER,FAILED
51,7,,3,158.52,2024-03-11T00:00:00,WITHDRAW,PENDING
52,1,4,1,291.89,2024-01-29T00:00:00,TRANSFER,FAILED
53,,1,1,133.07,2024-08-27T00:00:00,DEPOSIT,PENDING
54,4,,2,188.22,2024-07-27T00:00:00,WITHDRAW,COMPLETED
55,4,7,2,460.71,2024-01-25T00:00:00,TRANSFER,COMPLETED
56,7,4,3,66.98,2024-12-15T00:00:00,TRANSFER,FAILED
57,1,,1,689.5,2024-06-03T00:00:00,WITHDRAW,FAILED
58,,1,1,841.09,2024-04-25T00:00:00,DEPOSIT,COMPLETED
59,7,4,3,632.53,2024-01-11T00:00:00,TRANSFER,PENDING
60,,4,2,163.16,2024-06-02T00:00:00,DEPOSIT,COMPLETED
61,4,,2,108.89,2024-11-22T00:00:00,WITHDRAW,PENDING
62,,4,2,148.46,2024-11-18T00:00:00,DEPOSIT,FAILED
63,,4,2,95.06,2024-01-05T00:00:00,DEPOSIT,COMPLETED
64,,4,2,309.01,2024-10-19T00:00:00,DEPOSIT,FAILED
65,,7,3,267.95,2024-05-14T00:00:00,DEPOSIT,COMPLETED
66,7,1,3,560.75,2024-11-12T00:00:00,TRANSFER,COMPLETED
67,1,,1,499.95,2024-06-01T00:00:00,WITHDRAW,COMPLETED
68,,7,3,769.7,2024-03-27T00:00:00,DEPOSIT,FAILED
69,4,1,2,725.46,2024-06-23T00:00:00,TRANSFER,PENDING
70,,7,3,565.71,2024-05-30T00:00:00,DEPOSIT,COMPLETED
71,,7,3,91.67,2024-08-30T00:00:00,DEPOSIT,COMPLETED
72,1,,1,647.36,2024-05-13T00:00:00,WITHDRAW,COMPLETED
73,,4,2,19.29,2024-11-22T00:00:00,DEPOSIT,PENDING
74,1,4,1,385.05,2024-11-10T00:00:00,TRANSFER,FAILED
75,4,7,2,204.54,2024-08-04T00:00:00,TRANSFER,PENDING
76,1,4,1,912.29,2024-10-09T00:00:00,TRANSFER,COMPLETED
77,7,,3,477.27,2024-09-23T00:00:00,WITHDRAW,FAILED
78,1,,1,406.03,2024-11-18T00:00:00,WITHDRAW,COMPLETED
79,4,,2,983.05,2024-05-10T00:00:00,WITHDRAW,FAILED
80,1,7,1,124.64,2024-07-12T00:00:00,TRANSFER,PENDING
81,,7,3,693.35,2024-10-13T00:00:00,DEPOSIT,COMPLETED
82,,1,1,511.87,2024-12-21T00:00:00,DEPOSIT,COMPLETED
83,4,7,2,453.68,2024-10-23T00:00:00,TRANSFER,FAILED
84,7,,3,120.16,2024-09-24T00:00:00,WITHDRAW,COMPLETED
85,1,7,1,872.72,2024-02-29T00:00:00,TRANSFER,COMPLETED
86,4,7,2,378.41,2024-08-18T00:00:00,TRANSFER,PENDING
87,1,,1,646.82,2024-08-24T00:00:00,WITHDRAW,COMPLETED
88,7,,3,22.74,2024-09-09T00:00:00,WITHDRAW,FAILED
89,1,,1,945.83,2024-03-06T00:00:00,WITHDRAW,PENDING
90,,4,2,375.61,2024-05-25T00:00:00,DEPOSIT,COMPLETED
91,,4,2,663.83,2024-01-30T00:00:00,DEPOSIT,COMPLETED
92,7,1,3,593.29,2024-11-14T00:00:00,TRANSFER,COMPLETED
93,1,,1,580.56,2024-03-16T00:00:00,WITHDRAW,FAILED
94,,4,2,876.32,2024-09-28T00:00:00,DEPOSIT,PENDING
95,,7,3,771.83,2024-11-17T00:00:00,DEPOSIT,COMPLETED
96,7,1,3,575.63,2024-12-27T00:00:00,TRANSFER,FAILED
97,1,,1,258.67,2024-01-16T00:00:00,WITHDRAW,COMPLETED
98,7,,3,190.26,2024-06-06T00:00:00,WITHDRAW,COMPLETED
99,,4,2,544.22,2024-03-06T00:00:00,DEPOSIT,COMPLETED
100,4,7,2,103.54,2024-12-19T00:00:00,TRANSFER,PENDING
101,7,,3,481.99,2024-10-19T00:00:00,WITHDRAW,COMPLETED
102,,1,1,571.91,2024-10-04T00:00:00,DEPOSIT,PENDING
103,,1,1,445.7,2024-07-12T00:00:00,DEPOSIT,PENDING
104,,1,1,817.23,2024-04-24T00:00:00,DEPOSIT,FAILED
105,1,4,1,973.53,2024-05-08T00:00:00,TRANSFER,PENDING
106,4,,2,952.01,2024-12-13T00:00:00,WITHDRAW,PENDING
107,,4,2,43.78,2024-11-05T00:00:00,DEPOSIT,FAILED
108,7,,3,707.12,2024-06-23T00:00:00,WITHDRAW,FAILED
109,,4,2,300.6,2024-03-09T00:00:00,DEPOSIT,FAILED
110,7,,3,501.73,2024-10-06T00:00:00,WITHDRAW,PENDING
111,7,4,3,517.29,2024-11-15T00:00:00,TRANSFER,FAILED
112,7,4,3,814.2,2024-03-19T00:00:00,TRANSFER,PENDING
113,,1,1,703.03,2024-04-04T00:00:00,DEPOSIT,COMPLETED
114,1,4,1,585.19,2024-03-22T00:00:00,TRANSFER,FAILED
115,1,,1,496.7,2024-08-26T00:00:00,WITHDRAW,PENDING
116,1,7,1,760.24,2024-04-01T00:00:00,TRANSFER,COMPLETED
117,4,,2,303.78,2024-11-24T00:00:00,WITHDRAW,FAILED
118,7,,3,395.18,2024-11-04T00:00:00,WITHDRAW,PENDING
119,,1,1,391.95,2024-12-23T00:00:00,DEPOSIT,PENDING
120,,4,2,460.12,2024-11-19T00:00:00,DEPOSIT,FAILED
121,,1,1,397.31,2024-10-30T00:00:00,DEPOSIT,FAILED
122,4,,2,828.26,2024-01-02T00:00:00,WITHDRAW,PENDING
123,4,,2,353.8,2024-02-21T00:00:00,WITHDRAW,COMPLETED
124,4,,2,656.8,2024-01-18T00:00:00,WITHDRAW,COMPLETED
125,1,,1,885.23,2024-05-25T00:00:00,WITHDRAW,PENDING
126,7,,3,176.27,2024-10-10T00:00:00,WITHDRAW,COMPLETED
127,7,1,3,367.21,2024-12-16T00:00:00,TRANSFER,COMPLETED
128,7,,3,102.45,2024-05-25T00:00:00,WITHDRAW,PENDING
129,,7,3,164.7,2024-04-25T00:00:00,DEPOSIT,PENDING
130,4,,2,799.59,2024-08-25T00:00:00,WITHDRAW,FAILED
131,,4,2,27.3,2024-07-13T00:00:00,DEPOSIT,COMPLETED
132,4,7,2,179.82,2024-06-29T00:00:00,TRANSFER,COMPLETED
133,4,,2,314.62,2024-09-22T00:00:00,WITHDRAW,PENDING
134,,1,1,79.51,2024-06-25T00:00:00,DEPOSIT,COMPLETED
135,4,,2,653.94,2024-10-11T00:00:00,WITHDRAW,FAILED
136,,7,3,546.66,2024-05-16T00:00:00,DEPOSIT,FAILED
137,,4,2,853.21,2024-08-21T00:00:00,DEPOSIT,FAILED
138,7,4,3,959.86,2024-01-06T00:00:00,TRANSFER,PENDING
139,1,,1,462.52,2024-07-07T00:00:00,WITHDRAW,FAILED
140,7,4,3,436.14,2024-05-29T00:00:00,TRANSFER,FAILED
141,1,4,1,775.99,2024-07-21T00:00:00,TRANSFER,FAILED
142,,7,3,901.84,2024-05-10T00:00:00,DEPOSIT,PENDING
143,4,7,2,618.93,2024-08-28T00:00:00,TRANSFER,FAILED
144,,4,2,40.93,2024-09-04T00:00:00,DEPOSIT,COMPLETED
145,4,,2,639.84,2024-12-27T00:00:00,WITHDRAW,PENDING
146,,1,1,767.61,2024-08-04T00:00:00,DEPOSIT,PENDING
147,,1,1,134.02,2024-01-25T00:00:00,DEPOSIT,COMPLETED
148,4,7,2,527.12,2024-01-19T00:00:00,TRANSFER,COMPLETED
149,,4,2,17.38,2024-11-13T00:00:00,DEPOSIT,FAILED
150,,4,2,547.14,2024-02-17T00:00:00,DEPOSIT,FAILED
151,,4,2,980.78,2024-05-02T00:00:00,DEPOSIT,PENDING
152,,7,3,53.45,2024-01-24T00:00:00,DEPOSIT,COMPLETED
153,,1,1,793.18,2024-06-07T00:00:00,DEPOSIT,COMPLETED
154,1,,1,676.91,2024-04-16T00:00:00,WITHDRAW,PENDING
155,4,7,2,547.24,2024-10-24T00:00:00,TRANSFER,COMPLETED
156,,7,3,699.98,2024-08-16T00:00:00,DEPOSIT,PENDING
157,,7,3,942.85,2024-11-18T00:00:00,DEPOSIT,PENDING
158,1,,1,16.9,2024-03-12T00:00:00,WITHDRAW,COMPLETED
159,,1,1,664.08,2024-09-17T00:00:00,DEPOSIT,PENDING
160,4,,2,733.66,2024-12-07T00:00:00,WITHDRAW,PENDING
161,4,,2,672.01,2024-03-31T00:00:00,WITHDRAW,PENDING
162,4,,2,31.12,2024-09-18T00:00:00,WITHDRAW,FAILED
163,,7,3,997.57,2024-12-14T00:00:00,DEPOSIT,PENDING
164,4,,2,964.31,2024-12-14T00:00:00,WITHDRAW,COMPLETED
165,4,,2,449.97,2024-11-22T00:00:00,WITHDRAW,PENDING
166,,1,1,324.26,2024-10-17T00:00:00,DEPOSIT,FAILED
167,4,7,2,918.44,2024-02-27T00:00:00,TRANSFER,PENDING
168,,7,3,337.54,2024-06-27T00:00:00,DEPOSIT,PENDING
169,1,4,1,711.81,2024-09-15T00:00:00,TRANSFER,COMPLETED
170,,4,2,709.83,2024-10-21T00:00:00,DEPOSIT,FAILED
171,,1,1,618.96,2024-07-28T00:00:00,DEPOSIT,FAILED
172,1,7,1,527.54,2024-09-02T00:00:00,TRANSFER,COMPLETED
173,1,4,1,49.93,2024-02-17T00:00:00,TRANSFER,PENDING
174,,1,1,394.09,2024-09-02T00:00:00,DEPOSIT,COMPLETED
175,4,1,2,210.81,2024-09-09T00:00:00,TRANSFER,PENDING
176,1,,1,658.54,2024-09-22T00:00:00,WITHDRAW,PENDING
177,7,,3,803.42,2024-01-25T00:00:00,WITHDRAW,FAILED
178,4,7,2,996.44,2024-10-31T00:00:00,TRANSFER,COMPLETED
179,4,1,2,629.75,2024-03-25T00:00:00,TRANSFER,COMPLETED
180,7,4,3,919.53,2024-07-10T00:00:00,TRANSFER,COMPLETED
181,,1,1,159.23,2024-06-24T00:00:00,DEPOSIT,COMPLETED
182,,7,3,595.72,2024-08-08T00:00:00,DEPOSIT,FAILED
183,,1,1,945.98,2024-05-30T00:00:00,DEPOSIT,PENDING
184,7,,3,13.14,2024-08-25T00:00:00,WITHDRAW,PENDING
185,4,,2,504.87,2024-10-23T00:00:00,WITHDRAW,FAILED
186,7,4,3,788.45,2024-04-13T00:00:00,TRANSFER,FAILED
187,1,4,1,812.06,2024-03-15T00:00:00,TRANSFER,COMPLETED
188,7,,3,272.72,2024-05-05T00:00:00,WITHDRAW,COMPLETED
189,4,,2,118.49,2024-05-19T00:00:00,WITHDRAW,PENDING
190,,1,1,221.7,2024-02-12T00:00:00,DEPOSIT,FAILED
191,,1,1,188.59,2024-07-08T00:00:00,DEPOSIT,COMPLETED
192,4,1,2,665.02,2024-04-29T00:00:00,TRANSFER,PENDING
193,4,7,2,870.69,2024-09-11T00:00:00,TRANSFER,FAILED
194,1,4,1,148.02,2024-08-18T00:00:00,TRANSFER,FAILED
195,4,7,2,969.31,2024-10-01T00:00:00,TRANSFER,FAILED
196,7,1,3,83.58,2024-02-02T00:00:00,TRANSFER,FAILED
197,,4,2,452.32,2024-06-30T00:00:00,DEPOSIT,FAILED
198,7,,3,964.62,2024-01-09T00:00:00,WITHDRAW,FAILED
199,4,,2,584.07,2024-01-17T00:00:00,WITHDRAW,FAILED
200,1,7,1,972.53,2024-09-25T00:00:00,TRANSFER,COMPLETED
201,4,7,2,772.81,2024-08-14T00:00:00,TRANSFER,PENDING
202,,1,1,276.15,2024-04-09T00:00:00,DEPOSIT,FAILED
203,7,4,3,608.1,2024-04-03T00:00:00,TRANSFER,PENDING
204,4,,2,197.87,2024-10-19T00:00:00,WITHDRAW,COMPLETED
205,,4,2,315.24,2024-03-03T00:00:00,DEPOSIT,COMPLETED
206,,4,2,886.47,2024-06-04T00:00:00,DEPOSIT,PENDING
207,4,1,2,986.45,2024-10-28T00:00:00,TRANSFER,COMPLETED
208,,4,2,533.73,2024-02-04T00:00:00,DEPOSIT,COMPLETED
209,1,4,1,47.29,2024-01-12T00:00:00,TRANSFER,FAILED
210,,4,2,307.79,2024-10-06T00:00:00,DEPOSIT,FAILED
211,1,4,1,94.26,2024-11-06T00:00:00,TRANSFER,FAILED
212,7,,3,155.59,2024-07-28T00:00:00,WITHDRAW,PENDING
213,4,1,2,828.88,2024-07-14T00:00:00,TRANSFER,PENDING
214,1,,1,191.43,2024-09-24T00:00:00,WITHDRAW,PENDING
215,,1,1,584.68,2024-05-11T00:00:00,DEPOSIT,PENDING
216,1,,1,813.24,2024-09-25T00:00:00,WITHDRAW,COMPLETED
217,,4,2,782.1,2024-05-01T00:00:00,DEPOSIT,COMPLETED
218,,4,2,87.29,2024-10-09T00:00:00,DEPOSIT,COMPLETED
219,4,1,2,893.59,2024-02-23T00:00:00,TRANSFER,FAILED
220,,4,2,438.64,2024-01-07T00:00:00,DEPOSIT,COMPLETED
221,1,4,1,539.77,2024-02-04T00:00:00,TRANSFER,PENDING
222,,4,2,184.47,2024-06-14T00:00:00,DEPOSIT,FAILED
223,1,,1,224.93,2024-06-02T00:00:00,WITHDRAW,COMPLETED
224,,1,1,50.3,2024-12-19T00:00:00,DEPOSIT,COMPLETED
225,7,4,3,897.47,2024-04-02T00:00:00,TRANSFER,FAILED
226,7,,3,900.61,2024-05-16T00:00:00,WITHDRAW,COMPLETED
227,,7,3,381.53,2024-12-26T00:00:00,DEPOSIT,COMPLETED
228,7,,3,807.53,2024-06-02T00:00:00,WITHDRAW,PENDING
229,4,1,2,683.73,2024-05-13T00:00:00,TRANSFER,FAILED
230,4,,2,592.17,2024-08-05T00:00:00,WITHDRAW,COMPLETED
231,1,4,1,818.83,2024-02-16T00:00:00,TRANSFER,PENDING
232,1,7,1,46.26,2024-03-09T00:00:00,TRANSFER,FAILED
233,1,7,1,800.58,2024-02-12T00:00:00,TRANSFER,PENDING
234,4,7,2,679.1,2024-07-16T00:00:00,TRANSFER,COMPLETED
235,4,,2,135.27,2024-02-11T00:00:00,WITHDRAW,COMPLETED
236,7,,3,68.3,2024-01-18T00:00:00,WITHDRAW,COMPLETED
237,4,7,2,296.05,2024-09-21T00:00:00,TRANSFER,FAILED
238,1,7,1,202.22,2024-08-14T00:00:00,TRANSFER,COMPLETED
239,,4,2,824.28,2024-09-21T00:00:00,DEPOSIT,PENDING
240,1,,1,587.95,2024-08-06T00:00:00,WITHDRAW,FAILED
241,1,,1,94.65,2024-07-05T00:00:00,WITHDRAW,PENDING
242,7,,3,154.97,2024-10-08T00:00:00,WITHDRAW,PENDING
243,1,4,1,273.27,2024-01-11T00:00:00,TRANSFER,COMPLETED
244,1,4,1,443.99,2024-11-12T00:00:00,TRANSFER,COMPLETED
245,4,,2,740.39,2024-04-29T00:00:00,WITHDRAW,FAILED
246,,4,2,476.39,2024-01-05T00:00:00,DEPOSIT,PENDING
247,1,7,1,843.47,2024-03-18T00:00:00,TRANSFER,FAILED
248,,4,2,351.67,2024-11-20T00:00:00,DEPOSIT,COMPLETED
249,,7,3,911.62,2024-07-28T00:00:00,DEPOSIT,COMPLETED
250,,7,3,153.46,2024-12-19T00:00:00,DEPOSIT,COMPLETED
251,,1,1,462.4,2024-04-20T00:00:00,DEPOSIT,COMPLETED
252,1,,1,97.24,2024-03-07T00:00:00,WITHDRAW,PENDING
253,7,,3,403.71,2024-02-04T00:00:00,WITHDRAW,COMPLETED
254,1,,1,798.57,2024-06-21T00:00:00,WITHDRAW,PENDING
255,4,7,2,243.65,2024-01-09T00:00:00,TRANSFER,FAILED
256,4,7,2,721.35,2024-10-30T00:00:00,TRANSFER,COMPLETED
257,4,1,2,24.28,2024-12-18T00:00:00,TRANSFER,COMPLETED
258,,4,2,820.1,2024-08-16T00:00:00,DEPOSIT,FAILED
259,,7,3,197.0,2024-04-19T00:00:00,DEPOSIT,PENDING
260,4,,2,102.74,2024-09-28T00:00:00,WITHDRAW,PENDING
261,1,4,1,49.09,2024-01-10T00:00:00,TRANSFER,PENDING
262,4,,2,178.5,2024-10-15T00:00:00,WITHDRAW,FAILED
263,,7,3,210.66,2024-08-13T00:00:00,DEPOSIT,COMPLETED
264,4,,2,547.58,2024-08-19T00:00:00,WITHDRAW,FAILED
265,1,,1,414.1,2024-03-12T00:00:00,WITHDRAW,PENDING
266,7,1,3,953.58,2024-01-15T00:00:00,TRANSFER,PENDING
267,,4,2,53.25,2024-01-25T00:00:00,DEPOSIT,FAILED
268,,7,3,407.42,2024-04-09T00:00:00,DEPOSIT,FAILED
269,,7,3,623.85,2024-07-14T00:00:00,DEPOSIT,PENDING
270,,4,2,714.76,2024-10-30T00:00:00,DEPOSIT,PENDING
271,4,1,2,351.04,2024-09-21T00:00:00,TRANSFER,PENDING
272,7,,3,83.91,2024-07-24T00:00:00,WITHDRAW,PENDING
273,,4,2,384.55,2024-12-16T00:00:00,DEPOSIT,PENDING
274,,7,3,879.97,2024-10-29T00:00:00,DEPOSIT,FAILED
275,1,7,1,317.72,2024-01-30T00:00:00,TRANSFER,COMPLETED
276,4,1,2,629.39,2024-07-13T00:00:00,TRANSFER,COMPLETED
277,,4,2,636.62,2024-10-31T00:00:00,DEPOSIT,COMPLETED
278,4,,2,700.77,2024-06-21T00:00:00,WITHDRAW,PENDING
279,4,7,2,928.41,2024-08-03T00:00:00,TRANSFER,COMPLETED
280,7,4,3,719.48,2024-08-24T00:00:00,TRANSFER,COMPLETED
281,7,,3,401.73,2024-12-15T00:00:00,WITHDRAW,FAILED
282,7,4,3,559.24,2024-08-08T00:00:00,TRANSFER,PENDING
283,7,4,3,263.79,2024-02-25T00:00:00,TRANSFER,FAILED
284,,7,3,567.26,2024-06-24T00:00:00,DEPOSIT,FAILED
285,,7,3,952.67,2024-09-09T00:00:00,DEPOSIT,FAILED
286,,1,1,145.4,2024-06-08T00:00:00,DEPOSIT,FAILED
287,4,,2,739.98,2024-09-23T00:00:00,WITHDRAW,PENDING
288,1,,1,238.66,2024-07-28T00:00:00,WITHDRAW,FAILED
289,7,1,3,823.97,2024-05-23T00:00:00,TRANSFER,PENDING
290,1,,1,931.64,2024-08-28T00:00:00,WITHDRAW,COMPLETED
291,7,4,3,494.41,2024-10-06T00:00:00,TRANSFER,PENDING
292,4,1,2,823.42,2024-05-19T00:00:00,TRANSFER,PENDING
293,,1,1,179.79,2024-06-04T00:00:00,DEPOSIT,COMPLETED
294,4,7,2,110.09,2024-08-19T00:00:00,TRANSFER,COMPLETED
295,4,7,2,149.05,2024-07-17T00:00:00,TRANSFER,COMPLETED
296,,1,1,853.6,2024-01-07T00:00:00,DEPOSIT,FAILED
297,4,7,2,828.55,2024-03-31T00:00:00,TRANSFER,COMPLETED
298,,4,2,626.22,2024-11-06T00:00:00,DEPOSIT,COMPLETED
299,,4,2,372.97,2024-04-22T00:00:00,DEPOSIT,PENDING
300,1,,1,118.17,2024-05-23T00:00:00,WITHDRAW,FAILED
301,7,4,3,179.54,2024-07-23T00:00:00,TRANSFER,PENDING
302,4,,2,814.04,2024-03-26T00:00:00,WITHDRAW,FAILED
303,,1,1,988.93,2024-01-08T00:00:00,DEPOSIT,COMPLETED
304,4,,2,437.83,2024-08-24T00:00:00,WITHDRAW,PENDING
305,7,,3,210.07,2024-01-23T00:00:00,WITHDRAW,FAILED
306,7,,3,823.72,2024-02-14T00:00:00,WITHDRAW,PENDING
307,1,,1,207.49,2024-03-31T00:00:00,WITHDRAW,PENDING
308,1,7,1,574.8,2024-10-11T00:00:00,TRANSFER,FAILED
309,7,1,3,502.49,2024-02-17T00:00:00,TRANSFER,COMPLETED
310,,7,3,349.01,2024-02-02T00:00:00,DEPOSIT,COMPLETED
311,4,,2,782.13,2024-01-02T00:00:00,WITHDRAW,COMPLETED
312,4,,2,731.11,2024-10-16T00:00:00,WITHDRAW,FAILED
313,4,1,2,26.48,2024-10-31T00:00:00,TRANSFER,FAILED
314,,7,3,973.88,2024-08-23T00:00:00,DEPOSIT,FAILED
315,7,4,3,122.09,2024-06-13T00:00:00,TRANSFER,PENDING
316,1,7,1,44.9,2024-07-01T00:00:00,TRANSFER,FAILED
317,1,,1,332.29,2024-10-01T00:00:00,WITHDRAW,FAILED
318,,4,2,219.75,2024-11-15T00:00:00,DEPOSIT,PENDING
319,7,,3,448.3,2024-02-20T00:00:00,WITHDRAW,COMPLETED
320,,7,3,469.13,2024-05-07T00:00:00,DEPOSIT,FAILED
321,7,,3,693.87,2024-11-28T00:00:00,WITHDRAW,COMPLETED
322,,4,2,524.32,2024-09-14T00:00:00,DEPOSIT,COMPLETED
323,7,,3,122.11,2024-10-12T00:00:00,WITHDRAW,FAILED
